size,format,stored_bytes,stored_gb,upload_throughput_MBs,upload_time_s,download_throughput_MBs,download_time_s,listing_time_s,query_time_s,query_rows_returned
S,csv,321950651,0.322,0.506,607.312,2.568,119.55,0.9549,24.0011,246389
S,parquet,102277333,0.102,1.146,85.146,7.263,13.429,0.0392,0.6791,246389
M,csv,1609730806,1.61,6.916,221.976,6.916,221.971,1.0067,114.8762,1233021
M,parquet,511697746,0.512,7.07,69.02,7.52,64.893,0.0272,2.3327,1233021
L,csv,6438929955,6.439,5.254,1168.6,3.315,1852.109,1.1355,456.0256,4931740
L,parquet,2046525245,2.047,7.651,255.2,4.973,392.5,0.0337,8.1094,4931740S,csv,321950651,0.322,,,3.386,90.676,4.9696,52.7253,246389
S,parquet,102277333,0.102,,,4.493,21.709,0.0457,4.0216,246389
S,csv,321950651,0.322,,,3.08,99.69,2.2087,33.9176,246389
S,parquet,102277333,0.102,,,2.665,36.594,0.0292,0.6459,246389
S,csv,321950651,0.322,,,3.411,90.014,0.9192,26.3621,246389
S,parquet,102277333,0.102,,,5.049,19.318,0.0328,0.5451,246389
S,csv,321950651,0.322,,,4.874,62.996,0.9014,23.9374,246389
S,parquet,102277333,0.102,,,6.903,14.129,0.0217,0.4982,246389
S,csv,321950651,0.322,,,2.786,110.194,0.94,24.5434,246389
S,parquet,102277333,0.102,,,3.734,26.125,0.033,0.4552,246389
