bench_ts,storage,size,file_type,operation,objects,size_mb,generate_seconds,generate_mbps,upload_seconds,upload_mbps,download_seconds,download_mbps,list_seconds,query_filter_region,query_start_ts,query_end_ts,query_grouped_by,query_seconds,query_rows,query_result_groups
2026-05-10T16:37:21.091002+00:00,minio,S,csv,generate+upload+download+list+query,1,298.82,6.596,45.3,0.58,515.11,0.341,877.17,0.031,Eurozone,2026-04-10,2026-04-20,event_type,2.953,584041,4
2026-05-10T16:37:31.667760+00:00,minio,S,parquet,generate+upload+download+list+query,1,78.92,1.353,58.33,0.212,371.57,0.114,690.73,0.025,Eurozone,2026-04-10,2026-04-20,event_type,0.149,584041,4
2026-05-10T16:38:43.144198+00:00,azure,S,csv,generate+upload+download+list+query,1,298.82,0.0,1253360324.0,318.501,0.94,162.346,1.84,0.066,Eurozone,2026-04-10,2026-04-20,event_type,254.588,584041,4
2026-05-10T16:51:00.279287+00:00,azure,S,parquet,generate+upload+download+list+query,1,78.92,0.0,331015164.0,61.245,1.29,61.363,1.29,0.062,Eurozone,2026-04-10,2026-04-20,event_type,15.678,584041,4
2026-05-10T16:54:02.900323+00:00,aws,S,csv,generate+upload+download+list+query,1,298.82,0.0,1253360324.0,188.331,1.59,126.09,2.37,0.584,Eurozone,2026-04-10,2026-04-20,event_type,288.697,584041,4
2026-05-10T17:04:09.653951+00:00,aws,S,parquet,generate+upload+download+list+query,1,78.92,0.0,165507582.0,26.355,2.99,27.58,2.86,0.409,Eurozone,2026-04-10,2026-04-20,event_type,46.045,584041,4
2026-05-10T17:08:26.015800+00:00,minio,M,csv,generate+upload+download+list+query,5,1494.12,33.704,44.33,2.236,668.33,1.625,919.25,0.027,Eurozone,2026-04-10,2026-04-20,event_type,5.207,2916266,4
2026-05-10T17:09:08.887075+00:00,minio,M,parquet,generate+upload+download+list+query,5,394.61,6.606,59.74,0.874,451.25,0.511,771.5,0.032,Eurozone,2026-04-10,2026-04-20,event_type,0.374,2916266,4
2026-05-10T17:10:34.736816+00:00,azure,M,csv,generate+upload+download+list+query,5,1494.12,0.0,0,1026.31,1.46,1229.971,1.21,0.071,Eurozone,2026-04-10,2026-04-20,event_type,758.786,2916266,4
2026-05-10T18:00:51.795978+00:00,azure,M,parquet,generate+upload+download+list+query,5,394.61,0.0,827560614.0,291.346,1.35,307.635,1.28,0.086,Eurozone,2026-04-10,2026-04-20,event_type,59.742,2916266,4
2026-05-10T18:12:06.694369+00:00,aws,M,csv,generate+upload+download+list+query,5,1494.12,0.0,0,656.004,2.28,496.635,3.01,0.377,Eurozone,2026-04-10,2026-04-20,event_type,811.353,2916266,4
2026-05-10T18:44:53.080042+00:00,aws,M,parquet,generate+upload+download+list+query,5,394.61,0.0,551707076.0,242.405,1.63,298.092,1.32,0.432,Eurozone,2026-04-10,2026-04-20,event_type,177.007,2916266,4
2026-05-10T18:58:33.493645+00:00,minio,L,csv,generate+upload+download+list+query,20,5976.46,147.779,40.44,8.816,677.92,6.988,855.2,0.031,Eurozone,2026-04-10,2026-04-20,event_type,12.362,11666670,4
2026-05-10T19:01:29.541448+00:00,minio,L,parquet,generate+upload+download+list+query,20,1578.44,26.169,60.32,3.913,403.35,2.073,761.28,0.027,Eurozone,2026-04-10,2026-04-20,event_type,1.233,11666670,4
2026-05-10T19:10:40.875500+00:00,azure,L,csv,generate+upload+download+list+query,20,5976.46,0.0,0,4105.226,1.46,4919.868,1.21,0.090,Eurozone,2026-04-10,2026-04-20,event_type,1801.443,11666670,4
2026-05-10T19:40:05.989843+00:00,azure,L,parquet,generate+upload+download+list+query,20,1578.44,0.0,0,1165.384,1.35,1230.540,1.28,0.110,Eurozone,2026-04-10,2026-04-20,event_type,196.957,11666670,4
2026-05-10T21:30:30.546540+00:00,aws,L,csv,generate+upload+download+list+query,20,5976.46,0.0,0,2624.007,2.28,1986.533,3.01,0.450,Eurozone,2026-04-10,2026-04-20,event_type,1926.243,11666670,4
2026-05-10T23:43:53.183940+00:00,aws,L,parquet,generate+upload+download+list+query,20,1578.44,0.0,0,969.620,1.63,1192.368,1.32,0.500,Eurozone,2026-04-10,2026-04-20,event_type,583.555,11666670,4
